,img,notoccluded,lefteyebrow,lefteye,righteyebrow,righteye
12,C:\Users\nidhimh\Documents\Occlusion\train\13.jpg,0,1,1,0,0
13,C:\Users\nidhimh\Documents\Occlusion\train\14.jpg,0,1,1,1,0
50,C:\Users\nidhimh\Documents\Occlusion\train\51.jpg,0,0,1,0,0
54,C:\Users\nidhimh\Documents\Occlusion\train\55.jpg,0,0,1,0,0
66,C:\Users\nidhimh\Documents\Occlusion\train\67.jpg,0,1,1,1,0
69,C:\Users\nidhimh\Documents\Occlusion\train\70.jpg,0,1,0,0,0
75,C:\Users\nidhimh\Documents\Occlusion\train\76.jpg,0,1,1,0,0
78,C:\Users\nidhimh\Documents\Occlusion\train\79.jpg,0,0,1,0,0
79,C:\Users\nidhimh\Documents\Occlusion\train\80.jpg,0,1,0,0,0
80,C:\Users\nidhimh\Documents\Occlusion\train\81.jpg,0,1,1,0,0
81,C:\Users\nidhimh\Documents\Occlusion\train\82.jpg,0,1,1,0,0
82,C:\Users\nidhimh\Documents\Occlusion\train\83.jpg,0,1,1,0,0
87,C:\Users\nidhimh\Documents\Occlusion\train\88.jpg,0,1,1,0,0
89,C:\Users\nidhimh\Documents\Occlusion\train\90.jpg,0,1,1,0,0
111,C:\Users\nidhimh\Documents\Occlusion\train\112.jpg,0,1,0,0,0
113,C:\Users\nidhimh\Documents\Occlusion\train\114.jpg,0,1,1,0,0
123,C:\Users\nidhimh\Documents\Occlusion\train\124.jpg,0,0,1,0,0
142,C:\Users\nidhimh\Documents\Occlusion\train\143.jpg,0,1,1,0,0
167,C:\Users\nidhimh\Documents\Occlusion\train\168.jpg,0,0,1,0,0
192,C:\Users\nidhimh\Documents\Occlusion\train\193.jpg,0,1,1,0,0
197,C:\Users\nidhimh\Documents\Occlusion\train\198.jpg,0,0,1,0,0
215,C:\Users\nidhimh\Documents\Occlusion\train\216.jpg,0,0,1,0,0
218,C:\Users\nidhimh\Documents\Occlusion\train\219.jpg,0,1,1,0,0
244,C:\Users\nidhimh\Documents\Occlusion\train\245.jpg,0,0,1,0,0
245,C:\Users\nidhimh\Documents\Occlusion\train\246.jpg,0,1,1,0,0
256,C:\Users\nidhimh\Documents\Occlusion\train\257.jpg,0,1,0,0,0
261,C:\Users\nidhimh\Documents\Occlusion\train\262.jpg,0,0,1,0,0
286,C:\Users\nidhimh\Documents\Occlusion\train\287.jpg,0,1,1,0,0
317,C:\Users\nidhimh\Documents\Occlusion\train\318.jpg,0,1,0,0,0
324,C:\Users\nidhimh\Documents\Occlusion\train\325.jpg,0,1,1,1,0
358,C:\Users\nidhimh\Documents\Occlusion\train\359.jpg,0,1,0,0,0
414,C:\Users\nidhimh\Documents\Occlusion\train\415.jpg,0,0,1,0,0
425,C:\Users\nidhimh\Documents\Occlusion\train\426.jpg,0,1,0,0,0
427,C:\Users\nidhimh\Documents\Occlusion\train\428.jpg,0,0,1,1,0
435,C:\Users\nidhimh\Documents\Occlusion\train\436.jpg,0,1,0,0,0
440,C:\Users\nidhimh\Documents\Occlusion\train\441.jpg,0,0,1,0,0
475,C:\Users\nidhimh\Documents\Occlusion\train\476.jpg,0,1,1,0,0
534,C:\Users\nidhimh\Documents\Occlusion\train\535.jpg,0,1,1,0,0
546,C:\Users\nidhimh\Documents\Occlusion\train\547.jpg,0,1,0,0,0
556,C:\Users\nidhimh\Documents\Occlusion\train\557.jpg,0,1,1,0,0
559,C:\Users\nidhimh\Documents\Occlusion\train\560.jpg,0,1,0,1,0
560,C:\Users\nidhimh\Documents\Occlusion\train\561.jpg,0,0,0,1,0
562,C:\Users\nidhimh\Documents\Occlusion\train\563.jpg,0,1,1,0,0
566,C:\Users\nidhimh\Documents\Occlusion\train\567.jpg,0,1,1,0,0
574,C:\Users\nidhimh\Documents\Occlusion\train\575.jpg,0,1,0,0,0
613,C:\Users\nidhimh\Documents\Occlusion\train\614.jpg,0,1,0,0,0
626,C:\Users\nidhimh\Documents\Occlusion\train\627.jpg,0,1,0,0,0
635,C:\Users\nidhimh\Documents\Occlusion\train\636.jpg,0,1,1,0,0
658,C:\Users\nidhimh\Documents\Occlusion\train\659.jpg,0,0,1,0,0
663,C:\Users\nidhimh\Documents\Occlusion\train\664.jpg,0,1,1,0,0
665,C:\Users\nidhimh\Documents\Occlusion\train\666.jpg,0,0,1,0,0
666,C:\Users\nidhimh\Documents\Occlusion\train\667.jpg,0,1,0,0,0
